,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State,Mean
0,2001.0,3.3,3.5,3.7,3.8,3.9,4.0,4.2,4.4,4.7,4.9,5.1,5.3,Indiana,4.23
1,2002.0,5.4,5.4,5.4,5.4,5.3,5.2,5.1,5.1,5.0,5.0,5.0,5.0,Indiana,5.19
2,2003.0,5.0,5.0,5.1,5.2,5.4,5.5,5.5,5.5,5.5,5.4,5.3,5.2,Indiana,5.3
3,2004.0,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.5,5.6,5.6,Indiana,5.36
4,2005.0,5.7,5.7,5.6,5.5,5.4,5.3,5.4,5.4,5.5,5.4,5.4,5.3,Indiana,5.47
5,2006.0,5.2,5.1,5.1,5.1,5.2,5.2,5.2,5.1,5.1,5.0,4.9,4.8,Indiana,5.08
6,2007.0,4.7,4.6,4.5,4.5,4.4,4.4,4.5,4.5,4.6,4.6,4.7,4.7,Indiana,4.56
7,2008.0,4.7,4.7,4.8,5.0,5.3,5.5,5.8,6.1,6.5,6.9,7.5,8.2,Indiana,5.92
8,2009.0,8.9,9.5,10.0,10.3,10.5,10.6,10.6,10.5,10.5,10.6,10.7,10.8,Indiana,10.29
9,2010.0,11.0,11.0,10.9,10.8,10.6,10.4,10.3,10.1,10.0,9.9,9.7,9.4,Indiana,10.34
10,2011.0,9.2,9.0,8.9,8.9,9.0,9.2,9.3,9.4,9.4,9.2,9.0,8.8,Indiana,9.11
11,2012.0,8.6,8.4,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.4,8.4,Indiana,8.35
12,2013.0,8.5,8.4,8.3,8.1,8.0,7.8,7.6,7.5,7.2,7.0,6.7,6.5,Indiana,7.63
13,2014.0,6.4,6.3,6.2,6.1,6.1,6.0,5.9,5.9,5.8,5.7,5.6,5.5,Indiana,5.96
14,2015.0,5.4,5.3,5.1,5.0,4.9,4.8,4.7,4.6,4.6,4.5,4.6,4.6,Indiana,4.84
15,2016.0,4.6,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4.0,Indiana,4.42
16,2017.0,3.8,3.7,3.6,3.5,3.5,3.5,3.6,3.6,3.5,3.5,3.4,3.4,Indiana,3.55
17,2018.0,3.3,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.5,3.5,3.5,Indiana,3.36
0,2001.0,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.9,4.9,5.0,5.1,5.2,New Mexico,4.92
1,2002.0,5.3,5.4,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,New Mexico,5.54
2,2003.0,5.6,5.7,5.7,5.8,5.8,5.9,5.9,6.0,6.0,5.9,5.9,5.9,New Mexico,5.84
3,2004.0,5.8,5.7,5.7,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,New Mexico,5.52
4,2005.0,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.5,New Mexico,5.08
5,2006.0,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.0,3.9,New Mexico,4.18
6,2007.0,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.9,New Mexico,3.76
7,2008.0,3.9,3.9,4.0,4.0,4.1,4.2,4.3,4.5,4.7,5.0,5.4,5.8,New Mexico,4.48
8,2009.0,6.2,6.7,7.1,7.5,7.7,7.8,7.9,7.9,7.8,7.8,7.8,7.9,New Mexico,7.51
9,2010.0,8.0,8.0,8.1,8.2,8.3,8.3,8.3,8.2,8.1,8.0,7.9,7.8,New Mexico,8.1
10,2011.0,7.7,7.5,7.4,7.4,7.4,7.4,7.5,7.5,7.6,7.6,7.6,7.6,New Mexico,7.52
11,2012.0,7.5,7.3,7.2,7.1,7.1,7.0,7.0,7.0,7.0,7.1,7.1,7.0,New Mexico,7.12
12,2013.0,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.9,7.0,7.0,7.0,6.9,New Mexico,6.94
13,2014.0,6.9,6.9,6.9,6.8,6.8,6.8,6.7,6.6,6.5,6.5,6.4,6.4,New Mexico,6.68
14,2015.0,6.5,6.5,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.6,New Mexico,6.53
15,2016.0,6.6,6.6,6.6,6.7,6.7,6.7,6.8,6.8,6.7,6.7,6.7,6.6,New Mexico,6.68
16,2017.0,6.5,6.4,6.3,6.3,6.2,6.1,6.1,6.0,6.0,6.0,6.0,6.0,New Mexico,6.16
17,2018.0,5.9,5.8,5.6,5.4,5.1,4.9,4.7,4.6,4.6,4.6,4.6,4.6,New Mexico,5.03
0,2001.0,3.5,3.6,3.6,3.7,3.7,3.8,3.9,4.1,4.3,4.5,4.8,4.9,Georgia,4.03
1,2002.0,5.0,5.1,5.1,5.1,5.0,5.0,4.9,4.9,4.9,5.0,5.0,5.0,Georgia,5.0
2,2003.0,5.0,5.0,5.0,5.0,5.1,5.0,5.0,4.9,4.7,4.5,4.4,4.3,Georgia,4.82
3,2004.0,4.3,4.4,4.4,4.6,4.7,4.8,4.8,4.9,4.9,5.0,5.1,5.2,Georgia,4.76
4,2005.0,5.3,5.4,5.4,5.4,5.4,5.3,5.3,5.4,5.4,5.3,5.2,5.1,Georgia,5.32
5,2006.0,5.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.5,4.4,Georgia,4.73
6,2007.0,4.3,4.3,4.3,4.3,4.4,4.4,4.5,4.6,4.7,4.8,4.9,5.0,Georgia,4.54
7,2008.0,5.1,5.2,5.4,5.5,5.7,5.9,6.1,6.3,6.8,7.3,7.7,8.2,Georgia,6.27
8,2009.0,8.7,9.1,9.5,9.7,9.9,10.0,10.2,10.3,10.4,10.4,10.5,10.5,Georgia,9.93
9,2010.0,10.5,10.6,10.6,10.5,10.4,10.3,10.3,10.4,10.5,10.6,10.6,10.6,Georgia,10.49
10,2011.0,10.5,10.4,10.3,10.3,10.3,10.3,10.4,10.3,10.2,10.1,9.9,9.8,Georgia,10.23
11,2012.0,9.7,9.6,9.5,9.5,9.4,9.3,9.1,9.0,8.9,8.8,8.8,8.7,Georgia,9.19
12,2013.0,8.7,8.6,8.6,8.5,8.4,8.3,8.2,8.1,7.9,7.8,7.7,7.6,Georgia,8.2
13,2014.0,7.5,7.4,7.3,7.3,7.3,7.3,7.2,7.1,6.9,6.8,6.6,6.5,Georgia,7.1
14,2015.0,6.4,6.3,6.3,6.2,6.1,6.0,5.9,5.8,5.7,5.6,5.6,5.6,Georgia,5.96
15,2016.0,5.5,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.3,Georgia,5.37
16,2017.0,5.3,5.2,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,4.5,Georgia,4.75
17,2018.0,4.5,4.4,4.4,4.3,4.2,4.1,3.9,3.8,3.7,3.7,3.7,3.7,Georgia,4.03
0,2001.0,4.2,4.2,4.2,4.2,4.4,4.5,4.7,5.0,5.3,5.5,5.8,6.0,New York,4.83
1,2002.0,6.1,6.2,6.3,6.3,6.2,6.1,6.1,6.0,6.0,6.1,6.1,6.2,New York,6.14
2,2003.0,6.3,6.3,6.3,6.3,6.4,6.4,6.5,6.5,6.5,6.4,6.4,6.4,New York,6.39
3,2004.0,6.4,6.3,6.3,6.1,6.0,5.9,5.7,5.6,5.5,5.4,5.3,5.2,New York,5.81
4,2005.0,5.1,5.1,5.0,5.0,4.9,4.9,5.0,5.0,5.1,5.0,5.0,4.9,New York,5.0
5,2006.0,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.2,New York,4.56
6,2007.0,4.2,4.3,4.3,4.4,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.8,New York,4.55
7,2008.0,4.8,4.9,4.9,5.0,5.1,5.2,5.4,5.5,5.7,6.0,6.3,6.7,New York,5.46
8,2009.0,7.1,7.5,7.8,8.1,8.3,8.4,8.5,8.7,8.8,8.8,8.9,8.9,New York,8.32
9,2010.0,8.9,8.8,8.8,8.7,8.6,8.5,8.5,8.5,8.5,8.5,8.4,8.4,New York,8.59
10,2011.0,8.3,8.2,8.1,8.1,8.1,8.2,8.3,8.3,8.4,8.5,8.5,8.6,New York,8.3
11,2012.0,8.6,8.6,8.7,8.7,8.7,8.7,8.6,8.5,8.4,8.3,8.2,8.2,New York,8.52
12,2013.0,8.1,8.1,8.0,7.9,7.8,7.8,7.7,7.7,7.6,7.4,7.3,7.1,New York,7.71
13,2014.0,7.0,6.8,6.7,6.6,6.5,6.4,6.2,6.1,6.0,6.0,5.9,5.8,New York,6.33
14,2015.0,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.0,5.0,4.9,4.9,4.9,New York,5.26
15,2016.0,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.8,New York,4.85
16,2017.0,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,New York,4.7
17,2018.0,4.7,4.6,4.6,4.6,4.5,4.5,4.3,4.2,4.1,4.1,4.1,4.1,New York,4.37
0,2001.0,6.1,6.1,6.1,6.2,6.3,6.3,6.4,6.5,6.5,6.6,6.6,6.6,District of Columbia,6.36
1,2002.0,6.6,6.6,6.5,6.5,6.4,6.3,6.3,6.2,6.2,6.3,6.4,6.5,District of Columbia,6.4
2,2003.0,6.6,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.9,District of Columbia,6.83
3,2004.0,7.0,7.2,7.4,7.6,7.8,7.9,8.1,8.2,8.2,8.2,8.0,7.8,District of Columbia,7.78
4,2005.0,7.6,7.3,7.1,6.8,6.6,6.3,6.1,5.9,5.8,5.7,5.7,5.7,District of Columbia,6.38
5,2006.0,5.7,5.8,5.8,5.8,5.9,5.9,5.9,5.8,5.8,5.8,5.7,5.6,District of Columbia,5.79
6,2007.0,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,District of Columbia,5.53
7,2008.0,5.7,5.8,5.9,5.9,6.0,6.2,6.3,6.5,6.8,7.1,7.4,7.7,District of Columbia,6.44
8,2009.0,8.0,8.3,8.6,8.9,9.1,9.3,9.6,9.7,9.9,10.0,10.0,9.9,District of Columbia,9.28
9,2010.0,9.8,9.7,9.5,9.4,9.3,9.3,9.2,9.2,9.3,9.3,9.4,9.5,District of Columbia,9.41
10,2011.0,9.6,9.8,10.1,10.3,10.4,10.5,10.5,10.4,10.3,10.1,10.0,9.9,District of Columbia,10.16
11,2012.0,9.8,9.6,9.4,9.3,9.1,8.9,8.8,8.8,8.7,8.7,8.7,8.7,District of Columbia,9.04
12,2013.0,8.7,8.7,8.7,8.6,8.6,8.6,8.5,8.5,8.4,8.3,8.2,8.1,District of Columbia,8.49
13,2014.0,8.0,7.9,7.9,7.9,7.8,7.8,7.8,7.7,7.7,7.6,7.6,7.5,District of Columbia,7.77
14,2015.0,7.4,7.3,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.6,6.5,6.4,District of Columbia,6.88
15,2016.0,6.4,6.3,6.2,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,District of Columbia,6.11
16,2017.0,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.1,6.0,5.9,5.9,5.9,District of Columbia,6.07
17,2018.0,5.8,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7,District of Columbia,5.66
0,2001.0,3.0,3.1,3.2,3.4,3.5,3.6,3.7,3.9,4.1,4.2,4.4,4.6,Massachusetts,3.72
1,2002.0,4.7,4.9,5.0,5.1,5.2,5.3,5.4,5.4,5.5,5.5,5.5,5.6,Massachusetts,5.26
2,2003.0,5.6,5.6,5.7,5.7,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.6,Massachusetts,5.72
3,2004.0,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5.0,5.0,4.9,4.9,4.9,Massachusetts,5.14
4,2005.0,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,Massachusetts,4.85
5,2006.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,Massachusetts,4.89
6,2007.0,4.8,4.7,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.6,Massachusetts,4.6
7,2008.0,4.6,4.7,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2,6.5,6.8,Massachusetts,5.55
8,2009.0,7.1,7.3,7.5,7.7,7.9,8.1,8.3,8.5,8.6,8.7,8.7,8.8,Massachusetts,8.1
9,2010.0,8.8,8.7,8.7,8.6,8.4,8.3,8.2,8.1,8.0,8.0,7.9,7.8,Massachusetts,8.29
10,2011.0,7.8,7.6,7.5,7.4,7.4,7.3,7.2,7.1,7.0,6.9,6.9,6.8,Massachusetts,7.24
11,2012.0,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.8,Massachusetts,6.66
12,2013.0,6.8,6.9,6.9,6.9,6.9,6.9,6.8,6.7,6.6,6.5,6.4,6.3,Massachusetts,6.72
13,2014.0,6.2,6.1,6.0,5.9,5.9,5.8,5.7,5.7,5.6,5.5,5.3,5.2,Massachusetts,5.74
14,2015.0,5.1,5.1,5.0,5.0,4.9,4.8,4.8,4.7,4.6,4.6,4.5,4.4,Massachusetts,4.79
15,2016.0,4.3,4.2,4.1,4.0,3.9,3.8,3.7,3.7,3.7,3.7,3.8,3.8,Massachusetts,3.89
16,2017.0,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.5,3.5,3.5,Massachusetts,3.72
17,2018.0,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,Massachusetts,3.55
0,2001.0,4.5,4.6,4.7,4.8,4.9,5.0,5.2,5.3,5.5,5.7,5.8,5.9,Kentucky,5.16
1,2002.0,5.9,5.8,5.7,5.6,5.6,5.5,5.5,5.6,5.6,5.7,5.8,5.9,Kentucky,5.68
2,2003.0,6.0,6.1,6.2,6.2,6.3,6.3,6.3,6.3,6.2,6.0,5.9,5.8,Kentucky,6.13
3,2004.0,5.7,5.7,5.6,5.6,5.5,5.4,5.3,5.2,5.2,5.2,5.2,5.3,Kentucky,5.41
4,2005.0,5.4,5.6,5.7,5.8,5.9,5.9,5.9,6.0,6.0,6.1,6.1,6.0,Kentucky,5.87
5,2006.0,6.0,5.9,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.6,Kentucky,5.73
6,2007.0,5.5,5.5,5.4,5.3,5.3,5.2,5.3,5.4,5.4,5.4,5.4,5.4,Kentucky,5.38
7,2008.0,5.4,5.4,5.5,5.7,5.9,6.2,6.4,6.7,6.9,7.3,7.8,8.4,Kentucky,6.47
8,2009.0,9.0,9.6,10.0,10.4,10.6,10.7,10.7,10.6,10.6,10.6,10.6,10.6,Kentucky,10.33
9,2010.0,10.6,10.6,10.5,10.3,10.2,10.0,9.9,9.9,10.0,10.0,10.0,10.0,Kentucky,10.17
10,2011.0,9.8,9.7,9.6,9.6,9.5,9.5,9.5,9.4,9.3,9.1,8.9,8.6,Kentucky,9.38
11,2012.0,8.4,8.2,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.1,8.1,8.1,Kentucky,8.17
12,2013.0,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.0,7.9,7.8,7.7,Kentucky,8.02
13,2014.0,7.5,7.4,7.2,7.0,6.8,6.5,6.3,6.1,5.9,5.7,5.6,5.5,Kentucky,6.46
14,2015.0,5.4,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.3,5.3,5.3,Kentucky,5.29
15,2016.0,5.3,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,Kentucky,5.15
16,2017.0,5.2,5.1,5.2,5.2,5.1,5.1,5.0,4.9,4.7,4.6,4.5,4.5,Kentucky,4.92
17,2018.0,4.3,4.1,4.0,4.0,4.1,4.2,4.3,4.4,4.5,4.5,4.5,4.5,Kentucky,4.28
0,2001.0,4.8,4.8,4.9,5.0,5.1,5.2,5.4,5.6,5.8,6.0,6.2,6.4,California,5.43
1,2002.0,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.8,6.8,California,6.65
2,2003.0,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.8,6.7,6.6,6.6,California,6.8
3,2004.0,6.5,6.5,6.5,6.4,6.4,6.3,6.2,6.1,6.0,5.9,5.9,5.8,California,6.21
4,2005.0,5.8,5.7,5.6,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.2,5.1,California,5.4
5,2006.0,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,California,4.92
6,2007.0,4.9,5.0,5.1,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,California,5.38
7,2008.0,6.0,6.1,6.2,6.5,6.7,7.0,7.3,7.6,7.9,8.3,8.7,9.2,California,7.29
8,2009.0,9.7,10.1,10.5,10.8,11.0,11.2,11.4,11.5,11.7,11.8,11.9,12.1,California,11.14
9,2010.0,12.2,12.2,12.3,12.2,12.2,12.2,12.2,12.2,12.2,12.3,12.3,12.2,California,12.23
10,2011.0,12.1,12.0,11.9,11.8,11.8,11.8,11.8,11.7,11.6,11.5,11.3,11.2,California,11.71
11,2012.0,11.0,10.9,10.8,10.7,10.6,10.5,10.4,10.2,10.0,9.9,9.8,9.7,California,10.38
12,2013.0,9.6,9.4,9.3,9.2,9.1,9.0,8.9,8.8,8.7,8.6,8.4,8.3,California,8.94
13,2014.0,8.2,8.0,7.9,7.8,7.7,7.5,7.4,7.3,7.2,7.1,7.0,6.9,California,7.5
14,2015.0,6.8,6.7,6.6,6.5,6.4,6.2,6.1,6.0,5.9,5.8,5.7,5.7,California,6.2
15,2016.0,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,California,5.48
16,2017.0,5.2,5.1,5.0,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,California,4.78
17,2018.0,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,California,4.2
0,2001.0,2.9,2.9,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.4,3.5,Nebraska,3.13
1,2002.0,3.6,3.6,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.7,Nebraska,3.65
2,2003.0,3.8,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,Nebraska,3.94
3,2004.0,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,Nebraska,3.86
4,2005.0,4.0,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.5,Nebraska,3.8
5,2006.0,3.4,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,Nebraska,3.13
6,2007.0,2.9,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.0,Nebraska,3.0
7,2008.0,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.4,3.5,3.6,3.8,3.9,Nebraska,3.34
8,2009.0,4.1,4.3,4.5,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,Nebraska,4.64
9,2010.0,4.9,4.8,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.5,Nebraska,4.62
10,2011.0,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.2,4.2,Nebraska,4.39
11,2012.0,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Nebraska,4.02
12,2013.0,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,Nebraska,3.77
13,2014.0,3.5,3.5,3.5,3.4,3.4,3.3,3.2,3.2,3.1,3.1,3.0,3.0,Nebraska,3.27
14,2015.0,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,Nebraska,3.02
15,2016.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,Nebraska,3.09
16,2017.0,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,Nebraska,2.93
17,2018.0,2.9,2.8,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.8,2.8,2.8,Nebraska,2.82
0,2001.0,3.9,3.9,4.0,4.1,4.2,4.3,4.5,4.7,4.9,5.2,5.5,5.7,Tennessee,4.58
1,2002.0,5.8,5.8,5.6,5.4,5.2,5.1,4.9,4.8,4.8,4.8,4.9,5.0,Tennessee,5.17
2,2003.0,5.1,5.3,5.5,5.6,5.8,5.9,5.9,5.9,5.8,5.7,5.6,5.4,Tennessee,5.62
3,2004.0,5.3,5.2,5.1,5.1,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,Tennessee,5.36
4,2005.0,5.9,5.9,5.9,5.8,5.7,5.6,5.4,5.3,5.3,5.3,5.3,5.3,Tennessee,5.56
5,2006.0,5.3,5.3,5.3,5.4,5.5,5.5,5.4,5.3,5.2,5.0,4.8,4.7,Tennessee,5.22
6,2007.0,4.5,4.4,4.3,4.2,4.2,4.3,4.5,4.7,5.0,5.2,5.3,5.4,Tennessee,4.67
7,2008.0,5.4,5.5,5.6,5.8,6.1,6.4,6.7,6.9,7.2,7.5,7.9,8.5,Tennessee,6.62
8,2009.0,9.1,9.8,10.3,10.6,10.8,10.9,10.8,10.8,10.7,10.6,10.6,10.5,Tennessee,10.46
9,2010.0,10.4,10.3,10.1,9.8,9.6,9.3,9.2,9.2,9.3,9.4,9.5,9.5,Tennessee,9.63
10,2011.0,9.5,9.4,9.3,9.2,9.2,9.1,9.1,9.0,8.8,8.6,8.3,8.1,Tennessee,8.97
11,2012.0,7.9,7.8,7.8,7.9,7.9,8.0,7.9,7.8,7.7,7.7,7.7,7.8,Tennessee,7.82
12,2013.0,7.9,8.0,8.1,8.0,8.0,7.9,7.8,7.8,7.6,7.4,7.2,7.1,Tennessee,7.73
13,2014.0,6.9,6.7,6.6,6.6,6.6,6.7,6.6,6.6,6.6,6.5,6.4,6.3,Tennessee,6.59
14,2015.0,6.2,6.1,6.0,5.9,5.8,5.7,5.6,5.4,5.3,5.2,5.0,4.9,Tennessee,5.59
15,2016.0,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.7,4.7,Tennessee,4.73
16,2017.0,4.5,4.4,4.2,4.0,3.8,3.6,3.5,3.4,3.3,3.3,3.3,3.3,Tennessee,3.72
17,2018.0,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,Tennessee,3.5
0,2001.0,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.7,4.8,5.0,5.2,Utah,4.41
1,2002.0,5.4,5.5,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,Utah,5.79
2,2003.0,5.9,5.9,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.5,5.4,5.4,Utah,5.65
3,2004.0,5.3,5.3,5.2,5.2,5.1,5.0,5.0,4.9,4.8,4.7,4.6,4.5,Utah,4.97
4,2005.0,4.4,4.4,4.3,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.8,3.7,Utah,4.08
5,2006.0,3.5,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.8,2.7,2.6,2.5,Utah,2.98
6,2007.0,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.8,2.9,Utah,2.59
7,2008.0,3.0,3.0,3.1,3.2,3.2,3.3,3.4,3.6,3.7,3.9,4.1,5.5,Utah,3.58
8,2009.0,6.2,6.7,7.0,7.2,7.3,7.4,7.5,7.6,7.6,7.7,7.8,7.8,Utah,7.32
9,2010.0,7.9,7.9,8.0,8.0,7.9,7.9,7.9,7.8,7.8,7.7,7.6,7.6,Utah,7.83
10,2011.0,7.5,7.4,7.2,7.1,7.0,6.8,6.7,6.5,6.4,6.3,6.1,6.0,Utah,6.75
11,2012.0,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.2,5.1,5.1,5.0,Utah,5.4
12,2013.0,5.0,4.9,4.8,4.8,4.7,4.6,4.6,4.5,4.4,4.3,4.3,4.2,Utah,4.59
13,2014.0,4.1,4.0,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,Utah,3.83
14,2015.0,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,Utah,3.6
15,2016.0,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,Utah,3.44
16,2017.0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,Utah,3.26
17,2018.0,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.2,Utah,3.12
0,2001.0,2.3,2.4,2.6,2.8,2.9,3.1,3.3,3.5,3.7,3.9,4.1,4.2,Virginia,3.23
1,2002.0,4.2,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,Virginia,4.23
2,2003.0,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.0,4.0,3.9,Virginia,4.12
3,2004.0,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,Virginia,3.8
4,2005.0,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.3,Virginia,3.58
5,2006.0,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.1,3.0,Virginia,3.12
6,2007.0,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.1,3.2,3.2,3.3,3.3,Virginia,3.04
7,2008.0,3.4,3.4,3.4,3.5,3.7,3.8,3.9,4.0,4.2,4.4,4.7,5.1,Virginia,3.96
8,2009.0,5.5,6.0,6.3,6.5,6.7,6.8,6.8,6.9,7.0,7.1,7.2,7.4,Virginia,6.68
9,2010.0,7.4,7.5,7.4,7.3,7.2,7.1,7.0,7.0,7.0,6.9,6.9,6.8,Virginia,7.13
10,2011.0,6.7,6.6,6.5,6.5,6.6,6.6,6.7,6.7,6.7,6.6,6.5,6.4,Virginia,6.59
11,2012.0,6.3,6.2,6.2,6.2,6.2,6.1,6.1,6.0,5.9,5.9,5.8,5.8,Virginia,6.06
12,2013.0,5.8,5.8,5.8,5.8,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.5,Virginia,5.7
13,2014.0,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5.1,5.0,4.9,Virginia,5.23
14,2015.0,4.9,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.1,Virginia,4.46
15,2016.0,4.1,4.0,4.0,4.0,4.0,4.1,4.1,4.2,4.2,4.2,4.1,4.1,Virginia,4.09
16,2017.0,4.0,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,Virginia,3.75
17,2018.0,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3.0,2.9,2.9,2.9,2.9,Virginia,3.16
0,2001.0,3.4,3.4,3.5,3.6,3.6,3.7,3.7,3.8,3.9,4.1,4.2,4.4,Minnesota,3.78
