,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State,Mean
17,2018.0,3.3,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.5,3.5,3.5,Indiana,3.36
17,2018.0,5.9,5.8,5.6,5.4,5.1,4.9,4.7,4.6,4.6,4.6,4.6,4.6,New Mexico,5.03
17,2018.0,4.5,4.4,4.4,4.3,4.2,4.1,3.9,3.8,3.7,3.7,3.7,3.7,Georgia,4.03
17,2018.0,4.7,4.6,4.6,4.6,4.5,4.5,4.3,4.2,4.1,4.1,4.1,4.1,New York,4.37
17,2018.0,5.8,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7,District of Columbia,5.66
17,2018.0,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,Massachusetts,3.55
17,2018.0,4.3,4.1,4.0,4.0,4.1,4.2,4.3,4.4,4.5,4.5,4.5,4.5,Kentucky,4.28
17,2018.0,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,California,4.2
17,2018.0,2.9,2.8,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.8,2.8,2.8,Nebraska,2.82
17,2018.0,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,Tennessee,3.5
17,2018.0,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.2,Utah,3.12
17,2018.0,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3.0,2.9,2.9,2.9,2.9,Virginia,3.16
17,2018.0,3.3,3.2,3.2,3.2,3.1,3.1,3.0,2.9,2.8,2.8,2.8,2.8,Minnesota,3.02
17,2018.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.7,2.7,Idaho,2.84
17,2018.0,4.8,4.8,4.8,4.7,4.5,4.3,4.2,4.1,4.1,4.1,4.1,4.1,Pennsylvania,4.38
